"time{s}","TurningAngularVel\system\BodyAngle\plot{rad}","TurningAngularVel\system\BodyAngularVel\plot{rad/s}","TurningAngularVel\system\MotorLAngle\plot","TurningAngularVel\system\BodyX\input","TurningAngularVel\system\BodyY\input","TurningAngularVel\system\TurningAngle\input","TurningAngularVel\system\BodyAngle\input{rad}","TurningAngularVel\system\BodyZ\input","TurningAngularVel\system\MotorRAngle\plot","TurningAngularVel\system\WheelMass\state","TurningAngularVel\system\WheelMass1\state"
1.234,-0.346264592713108,-4.02637431635768,1.41030073001209,-0.0396411804705378,0.127204049420644,-1.62592733519846e-17,-0.346264592713108,-3.61026111761271e-19,-1.41030073001209,-0.0945501649247973,-0.0945501649247973
1.235,-0.350325926882592,-4.06133416948446,1.42304864213906,-0.0399681053112721,0.127075367715786,-1.58899655240277e-17,-0.350325926882592,-3.66218538387717e-19,-1.42304864213906,-0.0950730970527081,-0.0950730970527081
1.236,-0.354422383716762,-4.09645683417005,1.43585377184633,-0.0402962497982102,0.126944119136841,-1.55230083573684e-17,-0.354422383716762,-3.71309580780039e-19,-1.43585377184633,-0.095595373478386,-0.095595373478386
1.237,-0.358554123925774,-4.13174020901174,1.4487158283374,-0.040625614676557,0.126810263162974,-1.48856903282835e-17,-0.358554123925774,-3.76212354740031e-19,-1.4487158283374,-0.0961169141356785,-0.0961169141356784
1.238,-0.362721306059956,-4.16718213418186,1.46163450853876,-0.0409562008034977,0.12667375893292,-1.43819807738511e-17,-0.362721306059956,-3.80963520553501e-19,-1.46163450853876,-0.096637637369829,-0.096637637369829
1.239,-0.366924086452199,-4.20278039224258,1.47460949687804,-0.041288009150395,0.126534565251494,-1.3957421296611e-17,-0.366924086452199,-3.85594709441699e-19,-1.47460949687804,-0.0971574599454933,-0.0971574599454933
1.24,-0.371162619161245,-4.23853270904242,1.48764046506297,-0.0416210408049741,0.126392640596423,-1.34248844983189e-17,-0.371162619161245,-3.90069994848254e-19,-1.48764046506297,-0.0976762970562118,-0.0976762970562118
1.24,-0.371162619161245,-4.23853270904242,1.48764046506297,-0.0416210408049741,0.126392640596423,-1.34248844983189e-17,-0.371162619161245,-3.90069994848254e-19,-1.48764046506297,-0.0976762970562118,-0.0976762970562118
1.241,-0.375437055915941,-4.27443675469546,1.5007270718612,-0.0419552969734928,0.126247943125499,-1.27807047355388e-17,-0.375437055915941,-3.94341769565487e-19,-1.5007270718612,-0.0981940623353544,-0.0981940623353544
1.242,-0.379747546060585,-4.31049014464443,1.51386896288144,-0.0422907789828982,0.126100430684055,-1.21697513070908e-17,-0.379747546060585,-3.98429460199521e-19,-1.51386896288144,-0.0987106678685635,-0.0987106678685635
1.243,-0.384094236501393,-4.34669044080766,1.52706577035571,-0.042627488282963,0.125950060812772,-1.17633145114445e-17,-0.384094236501393,-4.02389992258699e-19,-1.52706577035571,-0.0992260242076972,-0.0992260242076971
1.244,-0.388477271654204,-4.38303515281087,1.54031711292325,-0.0429654264484031,0.125796790755801,-1.17159920498827e-17,-0.388477271654204,-4.06349577337899e-19,-1.54031711292325,-0.0997400403862956,-0.0997400403862956
1.245,-0.392896793393508,-4.41952173930406,1.55362259541601,-0.0433045951809724,0.12564057746922,-1.10215886079123e-17,-0.392896793393508,-4.10087435724967e-19,-1.55362259541601,-0.100252623936574,-0.100252623936574
1.246,-0.397352941002871,-4.45614760936357,1.5669818086461,-0.0436449963115339,0.125481377629806,-1.05339416455557e-17,-0.397352941002871,-4.13673199230915e-19,-1.5669818086461,-0.100763680907949,-0.100763680907949
1.247,-0.401845851126851,-4.49291012397949,1.58039432919523,-0.0439866318021045,0.125319147644133,-1.05339396744356e-17,-0.401845851126851,-4.17271974106844e-19,-1.58039432919523,-0.101273115887106,-0.101273115887106
1.248,-0.406375657724479,-4.52980659762807,1.59385971920644,-0.0443295037478714,0.125153843657987,-1.03274309348406e-17,-0.406375657724479,-4.20812945688745e-19,-1.59385971920644,-0.1017808320196,-0.1017808320196
1.249,-0.410942492024408,-4.56683429992906,1.60737752617826,-0.0446736143791774,0.124985421566103,-9.90287145526136e-18,-0.410942492024408,-4.24220629041692e-19,-1.60737752617826,-0.10228673103299,-0.10228673103299
1.25,-0.4155464824818,-4.60399045738723,1.62094728276146,-0.0450189660634752,0.124813837022214,-9.55005855371105e-18,-0.4155464824818,-4.2751876051485e-19,-1.62094728276146,-0.10279071326151,-0.10279071326151
1.25,-0.4155464824818,-4.60399045738723,1.62094728276146,-0.0450189660634752,0.124813837022214,-9.55005855371105e-18,-0.4155464824818,-4.2751876051485e-19,-1.62094728276146,-0.10279071326151,-0.10279071326151
1.251,-0.420187754737017,-4.64127225521737,1.63456850655862,-0.0453655613072446,0.124639045449414,-9.47460092806552e-18,-0.420187754737017,-4.30802609329565e-19,-1.63456850655862,-0.103292677672248,-0.103292677672248
1.252,-0.42486643157627,-4.67867683925237,1.64824069992673,-0.0457134027578762,0.124461002050827,-9.41627331214453e-18,-0.42486643157627,-4.34077525299366e-19,-1.64824069992673,-0.103792521892838,-0.103792521892838
1.253,-0.429582632894202,-4.71620131793255,1.66196334978289,-0.0460624932055139,0.124279661820584,-9.54685054345916e-18,-0.429582632894202,-4.37410726527682e-19,-1.66196334978289,-0.104290142240634,-0.104290142240634
1.254,-0.434336475658578,-4.75384276437554,1.67573592741338,-0.0464128355848574,0.124094979555091,-9.72754315946049e-18,-0.434336475658578,-4.40818696781808e-19,-1.67573592741338,-0.104785433753359,-0.104785433753359
1.255,-0.439128073877103,-4.79159821852515,1.68955788828629,-0.0467644329769228,0.123906909864606,-9.43509423562949e-18,-0.439128073877103,-4.44136047235102e-19,-1.68955788828629,-0.105278290221191,-0.105278290221191
1.256,-0.44395753856648,-4.82946468937742,1.70342867186783,-0.0471172886107573,0.12371540718509,-9.01053476600805e-18,-0.44395753856648,-4.47315465190635e-19,-1.70342867186783,-0.105768604220273,-0.105768604220273
1.257,-0.448824977723762,-4.86743915728225,1.71734770144244,-0.0474714058651086,0.123520425790348,-8.90112391021447e-18,-0.448824977723762,-4.50468070790189e-19,-1.71734770144244,-0.106256267147609,-0.106256267147609
1.258,-0.453730496300081,-4.9055185763184,1.73131438393707,-0.047826788270045,0.123321919804447,-8.42146220593963e-18,-0.453730496300081,-4.53460916818812e-19,-1.73131438393707,-0.106741169257299,-0.106741169257299
1.259,-0.458674196176821,-4.94369987673972,1.74532810974953,-0.0481834395085261,0.123119843214402,-8.70153681379214e-18,-0.458674196176821,-4.56564343489952e-19,-1.74532810974953,-0.107223199698105,-0.107223199698105
1.26,-0.463656176144316,-4.9819799674903,1.75938825258126,-0.0485413634179215,0.12291414988312,-8.62267317640162e-18,-0.463656176144316,-4.59649943437896e-19,-1.75938825258126,-0.107702246552278,-0.107702246552278
1.26,-0.463656176144316,-4.9819799674903,1.75938825258126,-0.0485413634179215,0.12291414988312,-8.62267317640162e-18,-0.463656176144316,-4.59649943437896e-19,-1.75938825258126,-0.107702246552278,-0.107702246552278
1.261,-0.468676531883101,-5.02035573878563,1.77349416927451,-0.0489005639914743,0.122704793562606,-8.95561251102675e-18,-0.468676531883101,-4.62866792444556e-19,-1.77349416927451,-0.108178196875607,-0.108178196875607
1.262,-0.473735355947859,-5.05882406475765,1.78764519965435,-0.0492610453797128,0.122491727907408,-9.22643903174291e-18,-0.473735355947859,-4.66193465257039e-19,-1.78764519965435,-0.108650936738657,-0.108650936738657
1.263,-0.478832737754019,-5.09738180615993,1.80184066637526,-0.0496228118918022,0.1222749064883,-9.16557745920441e-18,-0.478832737754019,-4.69509250814553e-19,-1.80184066637526,-0.10912035126912,-0.10912035126912
1.264,-0.48396876356715,-5.13602581313052,1.81607987477275,-0.0499858679968397,0.122054282806196,-9.32922447730619e-18,-0.48396876356715,-4.72895490479516e-19,-1.81607987477275,-0.109586324695242,-0.109586324695242
1.265,-0.489143516495159,-5.17475292800892,1.83036211271996,-0.0503502183250899,0.121829810306279,-9.81276214583683e-18,-0.489143516495159,-4.76469965347329e-19,-1.83036211271996,-0.110048740390256,-0.110048740390256
1.266,-0.494357076483362,-5.21355998820376,1.84468665048949,-0.0507158676691584,0.121601442392341,-1.02373216231731e-17,-0.494357076483362,-4.8021323527576e-19,-1.84468665048949,-0.110507480917766,-0.110507480917766
1.267,-0.49960952031247,-5.25244382910764,1.85905274062043,-0.051082820985105,0.121369132441316,-1.06618810968816e-17,-0.49960952031247,-4.84125647905751e-19,-1.85905274062043,-0.110962428078012,-0.110962428078012
1.268,-0.504900921599525,-5.29140128705549,1.87345961779076,-0.0514510833934915,0.12113283381801,-1.07658617936187e-17,-0.504900921599525,-4.88091180200274e-19,-1.87345961779076,-0.111413462954948,-0.111413462954948
1.269,-0.510231350801848,-5.33042920232242,1.88790649869524,-0.0518206601803672,0.120892499889996,-1.07158249664725e-17,-0.510231350801848,-4.92051530395905e-19,-1.88790649869524,-0.111860465964071,-0.111860465964071
1.27,-0.51560087522401,-5.36952442215724,1.90239258192884,-0.0521915567981881,0.120648084042682,-1.1270269616615e-17,-0.51560087522401,-4.96231641996655e-19,-1.90239258192884,-0.11230331690091,-0.11230331690091
1.27,-0.51560087522401,-5.36952442215724,1.90239258192884,-0.0521915567981881,0.120648084042682,-1.1270269616615e-17,-0.51560087522401,-4.96231641996655e-19,-1.90239258192884,-0.11230331690091,-0.11230331690091
1.271,-0.521009559027858,-5.40868380384744,1.91691704787572,-0.0525637788666691,0.120399539694532,-1.12690382604916e-17,-0.521009559027858,-5.00426215823335e-19,-1.91691704787572,-0.11274189499012,-0.11274189499012
1.272,-0.52645746324567,-5.44790421781177,1.931479058604,-0.0529373321735729,0.120146820312427,-1.14669741086861e-17,-0.52645746324567,-5.04709728838424e-19,-1.931479058604,-0.11317607893509,-0.11317607893509
1.273,-0.531944645796385,-5.48718255071559,1.94607775776615,-0.0533122226754273,0.119889879427153,-1.1718713520078e-17,-0.531944645796385,-5.09071458844105e-19,-1.94607775776615,-0.113605746967983,-0.113605746967983
1.274,-0.53747116150499,-5.52651570860513,1.96071227050524,-0.0536884564981773,0.119628670649015,-1.17648493982569e-17,-0.53747116150499,-5.13498962083136e-19,-1.96071227050524,-0.11403077690014,-0.11403077690014
1.275,-0.543037062125046,-5.56590062005596,1.97538170336693,-0.0540660399377679,0.11936314768355,-1.15343788575769e-17,-0.543037062125046,-5.17855387978914e-19,-1.97538170336693,-0.114451046172745,-0.114451046172745
