"time{s}","TurningAngularVel\system\BodyAngle\plot{rad}","TurningAngularVel\system\BodyAngularVel\plot{rad/s}","TurningAngularVel\system\MotorLAngle\plot","TurningAngularVel\system\BodyX\input","TurningAngularVel\system\BodyY\input","TurningAngularVel\system\TurningAngle\input","TurningAngularVel\system\BodyAngle\input{rad}","TurningAngularVel\system\BodyZ\input","TurningAngularVel\system\MotorRAngle\plot","TurningAngularVel\system\WheelMass\state","TurningAngularVel\system\WheelMass1\state"
1.573,2.58248289706248e-09,4.658621926526e-08,-3.54443794994919,7.1246604839055e-11,0.13272,-1.09518388463208,2.58248289706248e-09,1.03494059914073e-10,-3.54443793696315,0.0688590614982294,-0.0688590596189447
1.574,2.63017946791108e-09,4.76965705031239e-08,-3.55663264824616,7.23710260409763e-11,0.13272,-1.09895188314985,2.63017946791108e-09,1.05697562645728e-10,-3.55663263501261,0.068973213830631,-0.0689732119050264
1.575,2.67815076697637e-09,4.79712990652858e-08,-3.56884752520533,7.34850943627913e-11,0.13272,-1.10272611660446,2.67815076697637e-09,1.07901279726777e-10,-3.56884751172624,0.069087344352365,-0.0690873424209178
1.576,2.72639947158058e-09,4.82487046059512e-08,-3.58108257697597,7.45886938465965e-11,0.13272,-1.10650658380569,2.72639947158058e-09,1.10104939948587e-10,-3.58108256325096,0.069201453087828,-0.0692014511505418
1.577,2.77493623522519e-09,4.85367636470584e-08,-3.59333779970705,7.56819944428802e-11,0.13272,-1.11029328356363,2.77493623522519e-09,1.12308839783847e-10,-3.59333778573538,0.0693155400413709,-0.0693155380978649
1.578,2.82375228880728e-09,4.8816053580162e-08,-3.60561318954801,7.6764474902376e-11,0.13272,-1.11408621468858,2.82375228880728e-09,1.14511878151411e-10,-3.60561317532945,0.0694296052166822,-0.0694296032675141
1.579,2.87288649089382e-09,4.91342020910729e-08,-3.61790874264944,7.78372950553398e-11,0.13272,-1.11788537599097,2.87288649089382e-09,1.16716377177719e-10,-3.61790872818307,0.0695436486190687,-0.0695436466624974
1.58,2.92226128143474e-09,4.93747905528046e-08,-3.63022445516189,7.88975375733275e-11,0.13272,-1.1216907662816,2.92226128143474e-09,1.18916267638259e-10,-3.63022444044779,0.0696576702498762,-0.0696576682897822
1.58,2.92226128143474e-09,4.93747905528046e-08,-3.63022445516189,7.88975375733275e-11,0.13272,-1.1216907662816,2.92226128143474e-09,1.18916267638259e-10,-3.63022444044779,0.0696576702498762,-0.0696576682897822
1.581,2.97208400556975e-09,4.98227241831193e-08,-3.64256032323824,7.99521831726101e-11,0.13272,-1.12550238437134,2.97208400556975e-09,1.21126041916119e-10,-3.64256030827437,0.0697716701201374,-0.0697716681466467
1.582,3.02186515295593e-09,4.97811473057847e-08,-3.65491634302831,8.09841939737957e-11,0.13272,-1.12932022907144,3.02186515295593e-09,1.23309798088642e-10,-3.65491632781797,0.0698856482171844,-0.0698856462540683
1.583,3.07282008509451e-09,5.09549321252968e-08,-3.66729251069187,8.20348219831245e-11,0.13272,-1.13314429919329,3.07282008509451e-09,1.25555137590473e-10,-3.66729249522533,0.0699996045863259,-0.0699996025750455
1.584,3.12199350335822e-09,4.91734185388719e-08,-3.67968882236736,8.30038777703105e-11,0.13272,-1.13697459354851,3.12199350335822e-09,1.27646975712172e-10,-3.67968880666613,0.0701135391310362,-0.0701135372144118
1.585,3.17663327815717e-09,5.46397728924325e-08,-3.69210527424737,8.41343576615942e-11,0.13272,-1.14081111094901,3.17663327815717e-09,1.30112036047052e-10,-3.69210525825702,0.0702274521017701,-0.0702274499300164
1.586,3.21902648038504e-09,4.23932034833772e-08,-3.70454186239455,8.48366655468812e-11,0.13272,-1.14465385020683,3.21902648038504e-09,1.31659080148267e-10,-3.70454184624647,0.070341342900128,-0.0703413413285624
1.587,3.26175504962893e-09,4.27285692438868e-08,-3.71699858304871,8.55308174051215e-11,0.13272,-1.14850281013429,3.26175504962893e-09,1.33203952756627e-10,-3.71699856670697,0.070455212261601,-0.0704552106828603
1.588,3.30482181531158e-09,4.30667656834913e-08,-3.72947543234918,8.62167632074345e-11,0.13272,-1.15235798954396,3.30482181531158e-09,1.34746441282246e-10,-3.72947541581307,0.0705690598866676,-0.0705690583007319
1.589,3.34823529285533e-09,4.34134775410485e-08,-3.74197240645357,8.68946266675221e-11,0.13272,-1.1562193872486,3.34823529285533e-09,1.36286747295833e-10,-3.74197238972246,0.0706828857796135,-0.0706828841861895
1.59,3.3919901829739e-09,4.37548901182834e-08,-3.75448950152012,8.75640858685721e-11,0.13272,-1.16008700206114,3.3919901829739e-09,1.37824056049567e-10,-3.75448948459361,0.0707966899442528,-0.0707966883437166
